seller_id_short,seller_state,orders,items_sold,gmv_brl,avg_item_price,avg_review_score,on_time_pct,pct_one_star
4869f7a5dfa2...,SP,1132,1156,229472.63,198.51,4.12,87.8,10.9
53243585a1d6...,BA,358,410,222776.05,543.36,4.08,93.7,10.0
4a3ca9315b74...,SP,1806,1987,200472.92,100.89,3.80,87.3,14.6
fa1c13f2614d...,SP,585,586,194042.03,331.13,4.34,88.7,8.5
7c67e1448b00...,SP,982,1364,187923.89,137.77,3.34,89.8,23.6
7e93a43ef30c...,SP,335,339,175032.87,516.32,4.20,89.4,10.3
da8622b14eb1...,SP,1314,1551,160236.57,103.31,4.07,92.5,11.3
7a67c85e85bb...,SP,1160,1171,141745.53,121.05,4.24,92.8,7.6
1025f0e2d44d...,SP,915,1428,138968.55,97.32,3.86,90.3,15.8
955fee9216a6...,SP,1287,1499,135171.70,90.17,4.05,90.3,10.1
46dc3b2cc098...,RJ,511,531,125766.30,236.85,4.20,90.4,10.9
6560211a19b4...,SP,1854,2033,123304.83,60.65,3.91,92.1,13.1
7d13fca15225...,SP,565,578,113628.97,196.59,4.00,87.0,12.8
5dceca129747...,SP,325,346,112155.53,324.15,3.99,93.4,13.9
620c87c171fb...,RJ,713,769,108977.40,141.71,4.20,88.4,11.2
1f50f920176f...,SP,1404,1931,106939.21,55.38,3.99,90.3,14.3
cc419e0650a3...,SP,1706,1775,104288.42,58.75,4.06,91.0,12.0
a1043bafd471...,MG,718,770,101901.16,132.34,4.19,92.2,9.6
3d871de0142c...,SP,1080,1147,94914.20,82.75,4.11,92.8,9.2
edb1ef5e36e0...,RJ,166,175,79284.55,453.05,4.43,92.0,6.3
ccc4bbb5f32a...,PR,187,192,74004.62,385.44,4.28,91.1,8.3
f7ba60f8c3f9...,SP,219,230,68395.00,297.37,4.20,83.0,9.1
fe2032dab1a6...,SP,294,306,65959.61,215.55,4.38,91.2,7.2
8581055ce74a...,SP,387,435,64925.30,149.25,4.23,88.3,8.7
cca3071e3e9b...,SP,704,817,63056.19,77.18,3.84,93.0,14.6
04308b1ee57b...,SC,94,94,60130.60,639.69,3.88,86.2,18.1
522620dcb18a...,PR,171,177,56459.69,318.98,3.90,88.7,18.1
17e34d8224d2...,SP,255,268,56363.24,210.31,4.14,89.2,11.6
7ddcbb64b5bc...,SP,334,343,55578.57,162.04,3.91,89.2,14.0
de722cd6dad9...,PE,339,379,55426.10,146.24,4.16,95.5,10.8
37be5a7c7511...,SP,272,281,55350.55,196.98,4.31,96.4,5.3
218d46b86c18...,SP,388,427,55093.28,129.02,4.15,89.5,11.5
25c5c91f6360...,MG,158,269,54679.22,203.27,3.73,92.9,17.8
f5a590cf3625...,SP,117,122,53201.78,436.08,4.24,86.9,10.7
ceaec5548eef...,SP,203,211,52917.18,250.79,4.15,91.9,10.0
b2ba3715d723...,SP,336,361,51547.08,142.79,4.13,88.1,11.1
966cb4760537...,SP,75,75,51286.05,683.81,3.86,86.7,17.3
e882b2a25a10...,RJ,57,58,51057.54,880.30,4.59,100.0,1.7
2bf6a2c1e71b...,RJ,30,31,50628.90,1633.19,4.19,90.3,12.9
f8db351d8c4c...,SP,667,724,50525.60,69.79,4.22,92.8,7.9
17f51e719870...,SP,56,61,48019.00,787.20,4.34,91.8,4.9
8160255418d5...,SP,385,431,47017.69,109.09,3.83,80.7,16.0
77530e9772f5...,PR,319,388,46462.40,119.75,4.05,86.6,12.4
4e922959ae96...,SP,419,453,46011.37,101.57,3.90,87.6,15.9
c826c40d7b19...,SP,354,373,45643.74,122.37,4.04,89.0,15.5
850f4f8af5ea...,SP,187,192,45355.36,236.23,4.29,93.2,6.8
b33e7c55446e...,SP,152,155,44985.17,290.23,4.15,85.2,10.3
ba90964cff9b...,SP,38,38,44212.50,1163.49,4.42,94.7,5.3
eeb6de78f791...,SC,83,84,43739.84,520.71,4.43,95.2,4.8
4d6d651bd768...,SP,369,395,43587.40,110.35,4.17,93.9,11.1
